"","country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","id","mob_all_except_residential_change_from_baseline","mob_transit_work_change_from_baseline","mob_transit_work_grocert_pharmacy_retail_change_from_baseline","retail_and_recreation_percent_change_from_baseline_7dma","grocery_and_pharmacy_percent_change_from_baseline_7dma","parks_percent_change_from_baseline_7dma","transit_stations_percent_change_from_baseline_7dma","workplaces_percent_change_from_baseline_7dma","residential_percent_change_from_baseline_7dma","mob_all_except_residential_change_from_baseline_7dma","mob_transit_work_change_from_baseline_7dma","mob_transit_work_grocert_pharmacy_retail_change_from_baseline_7dma","level"
"1346182","IT","Italy","Lombardy",NA,NA,"IT-PV",NA,2020-02-15,3,-4,24,-1,0,-1,"Italy_Lombardy_NA_NA",4.4,-0.5,-0.5,3,-1.71428571428571,29.8571428571429,3.71428571428571,-0.142857142857143,-0.714285714285714,6.94285714285714,1.78571428571429,-1.1875,"Sub-national"
"1346686","IT","Italy","Lombardy",NA,NA,"IT-VA",NA,2020-02-15,1,2,24,4,0,0,"Italy_Lombardy_NA_NA",6.2,2,1.75,0.142857142857143,-1.85714285714286,22,1.14285714285714,-0.714285714285714,-0.714285714285714,4.14285714285714,0.214285714285714,1.4375,"Sub-national"
"1343663","IT","Italy","Lombardy",NA,NA,"IT-25",NA,2020-02-16,-1,2,13,2,0,-1,"Italy_Lombardy_NA_NA",3.2,1,0.75,0.142857142857143,-1.14285714285714,18.8571428571429,3,-0.571428571428571,-0.857142857142857,4.05714285714286,1.21428571428571,1.1,"Sub-national"
"1343915","IT","Italy","Lombardy",NA,NA,"IT-MI",NA,2020-02-16,-5,-1,10,-3,-1,-1,"Italy_Lombardy_NA_NA",0,-2,-2.5,-0.428571428571429,-1.14285714285714,17.8571428571429,4.85714285714286,-0.571428571428571,-0.857142857142857,4.11428571428571,2.14285714285714,-0.1,"Sub-national"
"1344167","IT","Italy","Lombardy",NA,NA,"IT-BG",NA,2020-02-16,0,-11,8,2,-2,-1,"Italy_Lombardy_NA_NA",-0.6,0,-2.75,-0.142857142857143,-2.28571428571429,17.5714285714286,7.42857142857143,-0.428571428571429,-1,4.42857142857143,3.5,-0.45,"Sub-national"
"1344419","IT","Italy","Lombardy",NA,NA,"IT-BS",NA,2020-02-16,-1,2,19,13,0,-2,"Italy_Lombardy_NA_NA",6.6,6.5,3.5,-0.142857142857143,-3.57142857142857,15.2857142857143,8.42857142857143,-0.714285714285714,-1.14285714285714,3.85714285714286,3.85714285714286,3.05,"Sub-national"
"1344671","IT","Italy","Lombardy",NA,NA,"IT-CO",NA,2020-02-16,-1,-4,17,12,0,-1,"Italy_Lombardy_NA_NA",4.8,6,1.75,0.428571428571429,-7.71428571428571,18.5714285714286,9.57142857142857,-0.571428571428571,-1.14285714285714,4.05714285714286,4.5,0.65,"Sub-national"
"1344923","IT","Italy","Lombardy",NA,NA,"IT-CR",NA,2020-02-16,6,-6,32,22,0,-1,"Italy_Lombardy_NA_NA",10.8,11,5.5,2.42857142857143,-6.85714285714286,24.7142857142857,13.2857142857143,-0.142857142857143,-1.28571428571429,6.68571428571429,6.57142857142857,2.7,"Sub-national"
"1345175","IT","Italy","Lombardy",NA,NA,"IT-LC",NA,2020-02-16,1,-7,8,11,-2,-1,"Italy_Lombardy_NA_NA",2.2,4.5,0.75,1.85714285714286,-5.71428571428571,26.1428571428571,14.5714285714286,0,-1.28571428571429,7.37142857142857,7.28571428571429,0.25,"Sub-national"
"1345427","IT","Italy","Lombardy",NA,NA,"IT-LO",NA,2020-02-16,3,-27,36,10,1,-1,"Italy_Lombardy_NA_NA",4.6,5.5,-3.25,2.28571428571429,-6.14285714285714,25.4285714285714,11.7142857142857,0,-1.14285714285714,6.65714285714286,5.85714285714286,-1.75,"Sub-national"
"1345679","IT","Italy","Lombardy",NA,NA,"IT-MN",NA,2020-02-16,9,5,53,23,2,-2,"Italy_Lombardy_NA_NA",18.4,12.5,9.75,3.42857142857143,-5.14285714285714,29.1428571428571,12.1428571428571,0.285714285714286,-1,7.97142857142857,6.21428571428571,4.1,"Sub-national"
"1345931","IT","Italy","Lombardy",NA,NA,"IT-MB",NA,2020-02-16,-4,-3,18,11,-1,-1,"Italy_Lombardy_NA_NA",4.2,5,0.75,2,-4,23.2857142857143,8.85714285714286,0.285714285714286,-1,6.08571428571429,4.57142857142857,0.45,"Sub-national"
"1346183","IT","Italy","Lombardy",NA,NA,"IT-PV",NA,2020-02-16,2,-1,14,-7,0,-1,"Italy_Lombardy_NA_NA",1.6,-3.5,-1.5,1.42857142857143,-3.28571428571429,20.1428571428571,7.42857142857143,0.571428571428571,-0.857142857142857,5.25714285714286,4,-1.15,"Sub-national"
"1346687","IT","Italy","Lombardy",NA,NA,"IT-VA",NA,2020-02-16,-4,2,-9,-1,0,-1,"Italy_Lombardy_NA_NA",-2.4,-0.5,-0.75,-1,-1.57142857142857,3.28571428571429,3,0.142857142857143,-0.428571428571429,0.771428571428571,1.57142857142857,1.85,"Sub-national"
"1343664","IT","Italy","Lombardy",NA,NA,"IT-25",NA,2020-02-17,-3,-2,-14,1,0,0,"Italy_Lombardy_NA_NA",-3.6,0.5,-1,-0.714285714285714,-0.714285714285714,0.285714285714286,1.85714285714286,0.428571428571429,-0.285714285714286,0.228571428571429,1.14285714285714,1.16666666666667,"Sub-national"
"1343916","IT","Italy","Lombardy",NA,NA,"IT-MI",NA,2020-02-17,-3,-4,-20,1,0,0,"Italy_Lombardy_NA_NA",-5.2,0.5,-1.5,-1.57142857142857,-1.14285714285714,-3.14285714285714,2.85714285714286,0.428571428571429,0,-0.514285714285714,1.64285714285714,0.125,"Sub-national"
"1344168","IT","Italy","Lombardy",NA,NA,"IT-BG",NA,2020-02-17,-2,-6,-9,1,0,0,"Italy_Lombardy_NA_NA",-3.2,0.5,-1.75,-2.85714285714286,-1.85714285714286,-10.7142857142857,1,0.142857142857143,0,-2.85714285714286,0.571428571428571,-0.25,"Sub-national"
"1344420","IT","Italy","Lombardy",NA,NA,"IT-BS",NA,2020-02-17,-2,3,-3,3,1,0,"Italy_Lombardy_NA_NA",0.4,2,1.25,-2.57142857142857,-2.71428571428571,-11,1,0.285714285714286,0.142857142857143,-3,0.642857142857143,3.04166666666667,"Sub-national"
"1344672","IT","Italy","Lombardy",NA,NA,"IT-CO",NA,2020-02-17,-4,-4,-10,0,0,1,"Italy_Lombardy_NA_NA",-3.6,0,-2,-1.85714285714286,-4.14285714285714,-11.2857142857143,0.857142857142857,0.285714285714286,0.142857142857143,-3.22857142857143,0.571428571428571,0.583333333333333,"Sub-national"
"1344924","IT","Italy","Lombardy",NA,NA,"IT-CR",NA,2020-02-17,-2,-2,-10,2,0,0,"Italy_Lombardy_NA_NA",-2.4,1,-0.5,-1.57142857142857,-3,-7.14285714285714,1.28571428571429,0.571428571428571,0.142857142857143,-1.97142857142857,0.928571428571429,2.54166666666667,"Sub-national"
"1345176","IT","Italy","Lombardy",NA,NA,"IT-LC",NA,2020-02-17,-2,-4,-11,-1,1,0,"Italy_Lombardy_NA_NA",-3.4,0,-1.5,-2,-2.28571428571429,-8.85714285714286,1.71428571428571,0.571428571428571,0.142857142857143,-2.17142857142857,1.14285714285714,0.25,"Sub-national"
"1345428","IT","Italy","Lombardy",NA,NA,"IT-LO",NA,2020-02-17,2,-12,-16,0,0,0,"Italy_Lombardy_NA_NA",-5.2,0,-2.5,-1.71428571428571,-3.14285714285714,-11.1428571428571,0.142857142857143,0.285714285714286,0.285714285714286,-3.11428571428571,0.214285714285714,-1.75,"Sub-national"
"1345680","IT","Italy","Lombardy",NA,NA,"IT-MN",NA,2020-02-17,-1,4,9,4,2,0,"Italy_Lombardy_NA_NA",3.6,3,2.25,-0.857142857142857,-2.42857142857143,-8.57142857142857,0.428571428571429,0.428571428571429,0.142857142857143,-2.2,0.428571428571429,3.875,"Sub-national"
"1345932","IT","Italy","Lombardy",NA,NA,"IT-MB",NA,2020-02-17,-5,-1,-21,4,0,0,"Italy_Lombardy_NA_NA",-4.6,2,-0.5,-1,-1.71428571428571,-9,0.857142857142857,0.428571428571429,0.142857142857143,-2.08571428571429,0.642857142857143,0.625,"Sub-national"
"1346184","IT","Italy","Lombardy",NA,NA,"IT-PV",NA,2020-02-17,0,-3,-19,-8,-1,1,"Italy_Lombardy_NA_NA",-6.2,-4.5,-3,-0.428571428571429,-1,-2.85714285714286,1.57142857142857,0.428571428571429,0.142857142857143,-0.457142857142857,1,-0.958333333333333,"Sub-national"
"1346688","IT","Italy","Lombardy",NA,NA,"IT-VA",NA,2020-02-17,-3,3,-13,5,0,0,"Italy_Lombardy_NA_NA",-1.6,2.5,1.25,-0.142857142857143,-0.428571428571429,6.14285714285714,2.14285714285714,0.142857142857143,0.142857142857143,1.57142857142857,1.14285714285714,2.04166666666667,"Sub-national"
"1343665","IT","Italy","Lombardy",NA,NA,"IT-25",NA,2020-02-18,2,1,32,4,1,0,"Italy_Lombardy_NA_NA",8,2.5,2,1,-0.142857142857143,12.4285714285714,2.42857142857143,0.285714285714286,0.142857142857143,3.2,1.35714285714286,1.17857142857143,"Sub-national"
"1343917","IT","Italy","Lombardy",NA,NA,"IT-MI",NA,2020-02-18,1,1,33,4,0,0,"Italy_Lombardy_NA_NA",7.8,2,1.5,1.28571428571429,-0.571428571428571,20.2857142857143,4.42857142857143,0.571428571428571,0,5.2,2.5,0.25,"Sub-national"
"1344169","IT","Italy","Lombardy",NA,NA,"IT-BG",NA,2020-02-18,2,-5,23,4,0,0,"Italy_Lombardy_NA_NA",4.8,2,0.25,1.42857142857143,-0.857142857142857,21.4285714285714,5.71428571428571,0.428571428571429,0,5.62857142857143,3.07142857142857,-0.321428571428571,"Sub-national"
"1344421","IT","Italy","Lombardy",NA,NA,"IT-BS",NA,2020-02-18,3,1,23,6,1,0,"Italy_Lombardy_NA_NA",6.8,3.5,2.75,2.14285714285714,-2,26.1428571428571,5.42857142857143,0.571428571428571,0,6.45714285714286,3,2.92857142857143,"Sub-national"
"1344673","IT","Italy","Lombardy",NA,NA,"IT-CO",NA,2020-02-18,2,-6,36,6,1,0,"Italy_Lombardy_NA_NA",7.8,3.5,0.75,2.57142857142857,-3.71428571428571,24.1428571428571,5,0.571428571428571,0,5.71428571428571,2.78571428571429,0.535714285714286,"Sub-national"
"1344925","IT","Italy","Lombardy",NA,NA,"IT-CR",NA,2020-02-18,3,-1,16,11,0,0,"Italy_Lombardy_NA_NA",5.8,5.5,3.25,2.71428571428571,-3.57142857142857,22,5.14285714285714,0.571428571428571,0,5.37142857142857,2.85714285714286,2.10714285714286,"Sub-national"
"1345177","IT","Italy","Lombardy",NA,NA,"IT-LC",NA,2020-02-18,2,-5,20,3,1,0,"Italy_Lombardy_NA_NA",4.2,2,0.25,2.71428571428571,-2.85714285714286,22.5714285714286,5.14285714285714,0.714285714285714,0,5.65714285714286,2.92857142857143,0.214285714285714,"Sub-national"
"1345429","IT","Italy","Lombardy",NA,NA,"IT-LO",NA,2020-02-18,5,-11,18,1,1,0,"Italy_Lombardy_NA_NA",2.8,1,-1,3,-3.14285714285714,23.5714285714286,3.85714285714286,0.571428571428571,0,5.57142857142857,2.21428571428571,-2.42857142857143,"Sub-national"
"1345681","IT","Italy","Lombardy",NA,NA,"IT-MN",NA,2020-02-18,2,2,18,5,0,0,"Italy_Lombardy_NA_NA",5.4,2.5,2.25,3.14285714285714,-2.14285714285714,21.8571428571429,3.85714285714286,0.714285714285714,-0.142857142857143,5.48571428571429,2.28571428571429,3.92857142857143,"Sub-national"
"1345933","IT","Italy","Lombardy",NA,NA,"IT-MB",NA,2020-02-18,2,0,27,4,1,0,"Italy_Lombardy_NA_NA",6.8,2.5,1.75,3.14285714285714,-1.71428571428571,24.5714285714286,3.42857142857143,0.857142857142857,-0.142857142857143,6.05714285714286,2.14285714285714,0.464285714285714,"Sub-national"
"1346185","IT","Italy","Lombardy",NA,NA,"IT-PV",NA,2020-02-18,5,-1,30,-3,0,0,"Italy_Lombardy_NA_NA",6.2,-1.5,0.25,3.14285714285714,-0.857142857142857,24.4285714285714,3.57142857142857,0.857142857142857,-0.285714285714286,6.22857142857143,2.21428571428571,-0.892857142857143,"Sub-national"
"1346689","IT","Italy","Lombardy",NA,NA,"IT-VA",NA,2020-02-18,3,2,35,8,1,0,"Italy_Lombardy_NA_NA",9.8,4.5,3.5,3,-0.142857142857143,24.1428571428571,4.28571428571429,0.714285714285714,-0.428571428571429,6.4,2.5,2.14285714285714,"Sub-national"
"1343666","IT","Italy","Lombardy",NA,NA,"IT-25",NA,2020-02-19,2,1,19,4,1,-1,"Italy_Lombardy_NA_NA",5.4,2.5,2,2.85714285714286,-0.285714285714286,22.8571428571429,4.14285714285714,0.714285714285714,-0.428571428571429,6.05714285714286,2.42857142857143,0.928571428571429,"Sub-national"
"1343918","IT","Italy","Lombardy",NA,NA,"IT-MI",NA,2020-02-19,4,0,23,5,0,0,"Italy_Lombardy_NA_NA",6.4,2.5,2.25,2.14285714285714,-0.857142857142857,22.8571428571429,5.14285714285714,0.857142857142857,-0.428571428571429,6.02857142857143,3,-0.0714285714285714,"Sub-national"
"1344170","IT","Italy","Lombardy",NA,NA,"IT-BG",NA,2020-02-19,2,-4,11,6,0,-1,"Italy_Lombardy_NA_NA",3,3,1,2,-1.14285714285714,20.8571428571429,4.71428571428571,0.714285714285714,-0.285714285714286,5.42857142857143,2.71428571428571,-0.571428571428571,"Sub-national"
"1344422","IT","Italy","Lombardy",NA,NA,"IT-BS",NA,2020-02-19,1,-1,18,3,1,0,"Italy_Lombardy_NA_NA",4.4,2,1,1.85714285714286,-2.42857142857143,17.5714285714286,3.71428571428571,0.714285714285714,-0.285714285714286,4.28571428571429,2.21428571428571,2.28571428571429,"Sub-national"
"1344674","IT","Italy","Lombardy",NA,NA,"IT-CO",NA,2020-02-19,0,-5,30,4,1,0,"Italy_Lombardy_NA_NA",6,2.5,0,2.14285714285714,-4.28571428571429,16.1428571428571,3.28571428571429,0.571428571428571,-0.285714285714286,3.57142857142857,1.92857142857143,0.321428571428571,"Sub-national"
"1344926","IT","Italy","Lombardy",NA,NA,"IT-CR",NA,2020-02-19,2,-1,10,3,1,0,"Italy_Lombardy_NA_NA",3,2,1.25,1.57142857142857,-4.28571428571429,17,2.85714285714286,0.571428571428571,-0.285714285714286,3.54285714285714,1.71428571428571,0.321428571428571,"Sub-national"
"1345178","IT","Italy","Lombardy",NA,NA,"IT-LC",NA,2020-02-19,2,-7,12,1,1,0,"Italy_Lombardy_NA_NA",1.8,1,-0.75,1.42857142857143,-3.71428571428571,21.1428571428571,2.57142857142857,0.714285714285714,-0.285714285714286,4.42857142857143,1.64285714285714,0.25,"Sub-national"
"1345430","IT","Italy","Lombardy",NA,NA,"IT-LO",NA,2020-02-19,4,-12,9,1,0,-1,"Italy_Lombardy_NA_NA",0.4,0.5,-1.75,1.57142857142857,-3.85714285714286,21.2857142857143,1.42857142857143,0.714285714285714,-0.285714285714286,4.22857142857143,1.07142857142857,-7.28571428571429,"Sub-national"
"1345682","IT","Italy","Lombardy",NA,NA,"IT-MN",NA,2020-02-19,0,0,29,2,0,0,"Italy_Lombardy_NA_NA",6.2,1,0.5,1.71428571428571,-2.85714285714286,19,1,0.857142857142857,-0.285714285714286,3.94285714285714,0.928571428571429,3.75,"Sub-national"
"1345934","IT","Italy","Lombardy",NA,NA,"IT-MB",NA,2020-02-19,1,0,40,4,1,-1,"Italy_Lombardy_NA_NA",9.2,2.5,1.5,1.57142857142857,-2.14285714285714,20.1428571428571,1.71428571428571,0.857142857142857,-0.285714285714286,4.42857142857143,1.28571428571429,0.357142857142857,"Sub-national"
"1346186","IT","Italy","Lombardy",NA,NA,"IT-PV",NA,2020-02-19,2,-2,19,-5,1,0,"Italy_Lombardy_NA_NA",3,-2,-1,1.57142857142857,-1.14285714285714,21.1428571428571,2.14285714285714,0.714285714285714,-0.428571428571429,4.88571428571429,1.42857142857143,-1.17857142857143,"Sub-national"
"1346690","IT","Italy","Lombardy",NA,NA,"IT-VA",NA,2020-02-19,1,4,18,8,1,0,"Italy_Lombardy_NA_NA",6.4,4.5,3.5,1.57142857142857,-0.142857142857143,20.2857142857143,3,0.714285714285714,-0.571428571428571,5.08571428571429,1.85714285714286,2.17857142857143,"Sub-national"
"1343667","IT","Italy","Lombardy",NA,NA,"IT-25",NA,2020-02-20,2,0,19,4,0,-1,"Italy_Lombardy_NA_NA",5,2,1.5,1.85714285714286,0.142857142857143,18.4285714285714,3.28571428571429,0.714285714285714,-0.571428571428571,4.88571428571429,2,0.678571428571429,"Sub-national"
"1343919","IT","Italy","Lombardy",NA,NA,"IT-MI",NA,2020-02-20,2,-1,20,4,0,-1,"Italy_Lombardy_NA_NA",5,2,1.25,1.71428571428571,-0.142857142857143,17.8571428571429,4.42857142857143,0.714285714285714,-0.571428571428571,4.91428571428571,2.57142857142857,-0.821428571428571,"Sub-national"
"1344171","IT","Italy","Lombardy",NA,NA,"IT-BG",NA,2020-02-20,2,-4,12,5,0,-1,"Italy_Lombardy_NA_NA",3,2.5,0.75,1.85714285714286,-0.857142857142857,18.1428571428571,5.28571428571429,0.571428571428571,-0.571428571428571,5,2.92857142857143,-0.75,"Sub-national"
"1344423","IT","Italy","Lombardy",NA,NA,"IT-BS",NA,2020-02-20,3,2,27,6,1,-1,"Italy_Lombardy_NA_NA",7.8,3.5,3,1.85714285714286,-1.85714285714286,17.4285714285714,4.42857142857143,0.571428571428571,-0.571428571428571,4.48571428571429,2.5,2.03571428571429,"Sub-national"
"1344675","IT","Italy","Lombardy",NA,NA,"IT-CO",NA,2020-02-20,1,-4,15,3,1,0,"Italy_Lombardy_NA_NA",3.2,2,0.25,2.28571428571429,-3.42857142857143,14.8571428571429,3.71428571428571,0.571428571428571,-0.571428571428571,3.6,2.14285714285714,0,"Sub-national"
"1344927","IT","Italy","Lombardy",NA,NA,"IT-CR",NA,2020-02-20,2,-3,16,7,1,0,"Italy_Lombardy_NA_NA",4.6,4,1.75,2.42857142857143,-3.14285714285714,15.4285714285714,4,0.714285714285714,-0.428571428571429,3.88571428571429,2.35714285714286,-3.53571428571429,"Sub-national"
"1345179","IT","Italy","Lombardy",NA,NA,"IT-LC",NA,2020-02-20,1,-3,13,2,1,0,"Italy_Lombardy_NA_NA",2.8,1.5,0.25,2.28571428571429,-2.42857142857143,16,3.85714285714286,0.714285714285714,-0.428571428571429,4.08571428571429,2.28571428571429,0.892857142857143,"Sub-national"
"1345431","IT","Italy","Lombardy",NA,NA,"IT-LO",NA,2020-02-20,5,-11,1,-1,0,-1,"Italy_Lombardy_NA_NA",-1.2,-0.5,-1.75,2.42857142857143,-2.71428571428571,14.8571428571429,2.42857142857143,0.571428571428571,-0.428571428571429,3.51428571428571,1.5,-12.8214285714286,"Sub-national"
"1345683","IT","Italy","Lombardy",NA,NA,"IT-MN",NA,2020-02-20,3,1,24,6,1,0,"Italy_Lombardy_NA_NA",7,3.5,2.75,2.71428571428571,-1.71428571428571,14.8571428571429,2.57142857142857,0.571428571428571,-0.428571428571429,3.8,1.57142857142857,2.46428571428571,"Sub-national"
"1345935","IT","Italy","Lombardy",NA,NA,"IT-MB",NA,2020-02-20,1,1,16,4,0,-1,"Italy_Lombardy_NA_NA",4.4,2,1.5,2.57142857142857,-0.857142857142857,13.2857142857143,2.57142857142857,0.571428571428571,-0.428571428571429,3.62857142857143,1.57142857142857,-0.785714285714286,"Sub-national"
"1346187","IT","Italy","Lombardy",NA,NA,"IT-PV",NA,2020-02-20,4,0,19,-4,0,-1,"Italy_Lombardy_NA_NA",3.8,-2,0,2.57142857142857,-0.285714285714286,14.2857142857143,2.71428571428571,0.428571428571429,-0.428571428571429,3.94285714285714,1.57142857142857,-2.32142857142857,"Sub-national"
"1346691","IT","Italy","Lombardy",NA,NA,"IT-VA",NA,2020-02-20,1,3,5,7,1,0,"Italy_Lombardy_NA_NA",3.4,4,3,1.42857142857143,0.428571428571429,15.5714285714286,2.85714285714286,0.285714285714286,-0.285714285714286,4.11428571428571,1.57142857142857,2.53571428571429,"Sub-national"
"1343668","IT","Italy","Lombardy",NA,NA,"IT-25",NA,2020-02-21,1,1,20,3,0,0,"Italy_Lombardy_NA_NA",5,1.5,1.25,1.42857142857143,0.285714285714286,17.1428571428571,3.28571428571429,0.428571428571429,-0.285714285714286,4.51428571428571,1.85714285714286,-0.785714285714286,"Sub-national"
"1343920","IT","Italy","Lombardy",NA,NA,"IT-MI",NA,2020-02-21,0,1,23,3,0,0,"Italy_Lombardy_NA_NA",5.4,1.5,1,1,-0.714285714285714,17.2857142857143,4.71428571428571,0.571428571428571,-0.142857142857143,4.57142857142857,2.64285714285714,-2.85714285714286,"Sub-national"
"1344172","IT","Italy","Lombardy",NA,NA,"IT-BG",NA,2020-02-21,0,-6,11,3,0,0,"Italy_Lombardy_NA_NA",1.6,1.5,-0.75,0,-1.42857142857143,17,4.71428571428571,0.428571428571429,-0.142857142857143,4.14285714285714,2.57142857142857,-2.17857142857143,"Sub-national"
"1344424","IT","Italy","Lombardy",NA,NA,"IT-BS",NA,2020-02-21,1,0,27,7,1,-1,"Italy_Lombardy_NA_NA",7.2,4,2.25,0.142857142857143,-2.85714285714286,18.7142857142857,4.28571428571429,0.428571428571429,-0.285714285714286,4.14285714285714,2.35714285714286,1,"Sub-national"
"1344676","IT","Italy","Lombardy",NA,NA,"IT-CO",NA,2020-02-21,1,-7,20,6,1,0,"Italy_Lombardy_NA_NA",4.2,3.5,0.25,-1.14285714285714,-4.85714285714286,14.5714285714286,3.42857142857143,0.142857142857143,-0.142857142857143,2.42857142857143,1.78571428571429,-0.928571428571429,"Sub-national"
"1344928","IT","Italy","Lombardy",NA,NA,"IT-CR",NA,2020-02-21,-4,-2,13,4,0,0,"Italy_Lombardy_NA_NA",2.2,2,-0.5,-0.857142857142857,-4.71428571428571,14.2857142857143,4.71428571428571,0.285714285714286,-0.285714285714286,2.74285714285714,2.5,-6.53571428571429,"Sub-national"
"1345180","IT","Italy","Lombardy",NA,NA,"IT-LC",NA,2020-02-21,2,-7,17,4,1,-1,"Italy_Lombardy_NA_NA",3.4,2.5,0,-1,-4.28571428571429,16.1428571428571,4.57142857142857,0.285714285714286,-0.285714285714286,3.14285714285714,2.42857142857143,-0.142857142857143,"Sub-national"
"1345432","IT","Italy","Lombardy",NA,NA,"IT-LO",NA,2020-02-21,-8,-13,-9,-3,-2,1,"Italy_Lombardy_NA_NA",-7,-2.5,-6.5,-0.714285714285714,-4.42857142857143,15.8571428571429,3.14285714285714,0,-0.142857142857143,2.77142857142857,1.57142857142857,-17.9642857142857,"Sub-national"
"1345684","IT","Italy","Lombardy",NA,NA,"IT-MN",NA,2020-02-21,2,2,21,12,1,-1,"Italy_Lombardy_NA_NA",7.6,6.5,4.25,-0.428571428571429,-3,17,3.42857142857143,-0.142857142857143,-0.142857142857143,3.37142857142857,1.64285714285714,1.5,"Sub-national"
"1345936","IT","Italy","Lombardy",NA,NA,"IT-MB",NA,2020-02-21,-1,-3,24,2,0,0,"Italy_Lombardy_NA_NA",4.4,1,-0.5,0.285714285714286,-2.14285714285714,18.7142857142857,3.71428571428571,-0.142857142857143,-0.142857142857143,4.08571428571429,1.78571428571429,-2.64285714285714,"Sub-national"
"1346188","IT","Italy","Lombardy",NA,NA,"IT-PV",NA,2020-02-21,3,-1,25,-3,-1,0,"Italy_Lombardy_NA_NA",4.6,-2,-0.5,-0.857142857142857,-0.285714285714286,21.5714285714286,3.28571428571429,-0.428571428571429,0,4.65714285714286,1.42857142857143,-4.03571428571429,"Sub-national"
