country,region,region_code,province,province_code,comune,comune_code,population,total_deaths,expected_deaths,excess_deaths,excess_deaths_pct,excess_deaths_per_100,cases_2020_09_01,cases_2020_10_25,second_wave_cases,second_wave_cases_per_100k
Italy,Lombardy,3,Bergamo,16,Mapello,16132,6825,33,12.4,20.6,1.66129032258065,0.301831501831502,78,84,6,87.9120879120879
Italy,Lombardy,3,Bergamo,16,Martinengo,16133,10647,93,22.4,70.6,3.15178571428571,0.663097586174509,144,157,13,122.100122100122
Italy,Lombardy,3,Bergamo,16,Medolago,16250,2415,5,5.6,-0.6,-0.107142857142857,-0.0248447204968944,19,26,7,289.855072463768
Italy,Lombardy,3,Bergamo,16,Misano di Gera d'Adda,16135,2991,24,8.4,15.6,1.85714285714286,0.521564694082247,33,46,13,434.637245068539
Italy,Lombardy,3,Bergamo,16,Monasterolo del Castello,16137,1148,8,2.8,5.2,1.85714285714286,0.452961672473868,11,12,1,87.1080139372822
Italy,Lombardy,3,Bergamo,16,Montello,16139,3288,29,5,24,4.8,0.72992700729927,35,40,5,152.068126520681
Italy,Lombardy,3,Bergamo,16,Morengo,16140,2527,18,6.6,11.4,1.72727272727273,0.451127819548872,34,37,3,118.717847249703
Italy,Lombardy,3,Bergamo,16,Mornico al Serio,16141,2960,18,5.8,12.2,2.10344827586207,0.412162162162162,32,34,2,67.5675675675676
Italy,Lombardy,3,Bergamo,16,Mozzanica,16142,4533,22,12.6,9.4,0.746031746031746,0.207368188837415,37,49,12,264.725347452019
Italy,Lombardy,3,Bergamo,16,Mozzo,16143,7470,42,16.2,25.8,1.59259259259259,0.345381526104418,96,106,10,133.868808567604
Italy,Lombardy,3,Bergamo,16,Nembro,16144,11526,179,37.4,141.6,3.78609625668449,1.22852680895367,326,336,10,86.7603678639597
Italy,Lombardy,3,Bergamo,16,Olmo al Brembo,16145,497,5,1.4,3.6,2.57142857142857,0.724346076458753,11,12,1,201.207243460765
Italy,Lombardy,3,Bergamo,16,Oltre il Colle,16146,1008,14,3.8,10.2,2.68421052631579,1.01190476190476,18,19,1,99.2063492063492
Italy,Lombardy,3,Bergamo,16,Oneta,16148,588,9,2.4,6.6,2.75,1.12244897959184,12,12,0,0
