comune,comune_code,date,cases
Cava Manara,18041,21/10/2020,150
Cavaria con Premezzo,12048,21/10/2020,30
Cavenago d'Adda,98017,21/10/2020,38
Cavenago di Brianza,108017,21/10/2020,104
Cavernago,16066,21/10/2020,21
Cavriana,20018,21/10/2020,51
Cazzago Brabbia,12049,21/10/2020,4
Cazzago San Martino,17046,21/10/2020,142
Cazzano Sant'Andrea,16067,21/10/2020,28
Cedegolo,17047,21/10/2020,23
Cedrasco,14016,21/10/2020,5
Cella Dati,19028,21/10/2020,6
Cellatica,17048,21/10/2020,61
Cenate Sopra,16068,21/10/2020,29
Cenate Sotto,16069,21/10/2020,49
Cene,16070,21/10/2020,67
Centro Valle Intelvi,13254,21/10/2020,113
Cerano d'Intelvi,13063,21/10/2020,5
Ceranova,18043,21/10/2020,14
Cercino,14017,21/10/2020,9
Ceresara,20019,21/10/2020,17
Cerete,16071,21/10/2020,18
Cergnago,18045,21/10/2020,6
Ceriano Laghetto,108018,21/10/2020,71
Cermenate,13064,21/10/2020,76
Cernobbio,13065,21/10/2020,43
Cernusco Lombardone,97020,21/10/2020,56
Cernusco sul Naviglio,15070,21/10/2020,442
Cerro al Lambro,15071,21/10/2020,41
Cerro Maggiore,15072,21/10/2020,172
Certosa di Pavia,18046,21/10/2020,142
Cerveno,17049,21/10/2020,16
Cervesina,18047,21/10/2020,53
Cervignano d'Adda,98018,21/10/2020,28
Cesana Brianza,97021,21/10/2020,48
Cesano Boscone,15074,21/10/2020,398
Cesano Maderno,108019,21/10/2020,429
Cesate,15076,21/10/2020,193
Ceto,17050,21/10/2020,39
Cevo,17051,21/10/2020,21
Chiari,17052,21/10/2020,301
Chiavenna,14018,21/10/2020,74
Chiesa in Valmalenco,14019,21/10/2020,21
Chieve,19029,21/10/2020,21
Chignolo d'Isola,16072,21/10/2020,36
Chignolo Po,18048,21/10/2020,84
Chiuduno,16073,21/10/2020,72
Chiuro,14020,21/10/2020,20
Cicognolo,19030,21/10/2020,18
Cigognola,18049,21/10/2020,37
Cigole,17053,21/10/2020,37
Cilavegna,18050,21/10/2020,142
Cimbergo,17054,21/10/2020,7
Cingia de' Botti,19031,21/10/2020,88
Cinisello Balsamo,15077,21/10/2020,1127
Cino,14021,21/10/2020,4
Cirimido,13068,21/10/2020,10
Cisano Bergamasco,16074,21/10/2020,67
Ciserano,16075,21/10/2020,69
Cislago,12050,21/10/2020,92
Cisliano,15078,21/10/2020,42
Cittiglio,12051,21/10/2020,34
Civate,97022,21/10/2020,62
Cividate al Piano,16076,21/10/2020,81
Cividate Camuno,17055,21/10/2020,50
Civo,14022,21/10/2020,22
Clusone,16077,21/10/2020,211
Coccaglio,17056,21/10/2020,133
Cocquio-Trevisago,12053,21/10/2020,143
Codevilla,18051,21/10/2020,7
Codogno,98019,21/10/2020,450
Cogliate,108020,21/10/2020,66
Colere,16078,21/10/2020,24
Colico,97023,21/10/2020,48
Colle Brianza,97024,21/10/2020,11
Collebeato,17057,21/10/2020,54
Collio,17058,21/10/2020,13
Cologne,17059,21/10/2020,87
Cologno al Serio,16079,21/10/2020,129
Cologno Monzese,15081,21/10/2020,803
Colonno,13074,21/10/2020,6
Colorina,14023,21/10/2020,18
Colturano,15082,21/10/2020,12
Colverde,13251,21/10/2020,29
Colzate,16080,21/10/2020,41
Comabbio,12054,21/10/2020,5
Comazzo,98020,21/10/2020,21
Comerio,12055,21/10/2020,34
Comezzano-Cizzago,17060,21/10/2020,47
Commessaggio,20020,21/10/2020,7
Como,13075,21/10/2020,822
Comun Nuovo,16081,21/10/2020,46
Concesio,17061,21/10/2020,224
Concorezzo,108021,21/10/2020,244
Confienza,18052,21/10/2020,10
Copiano,18053,21/10/2020,17
Corana,18054,21/10/2020,4
Corbetta,15085,21/10/2020,161
Cormano,15086,21/10/2020,274
Corna Imagna,16082,21/10/2020,16
Cornale e Bastida,18191,21/10/2020,16
Cornaredo,15087,21/10/2020,198
Cornate d'Adda,108053,21/10/2020,105
Cornegliano Laudense,98021,21/10/2020,50
Corno Giovine,98022,21/10/2020,23
Correzzana,108022,21/10/2020,24
Corrido,13077,21/10/2020,7
Corsico,15093,21/10/2020,476
Corte de' Cortesi con Cignone,19032,21/10/2020,17
Corte de' Frati,19033,21/10/2020,43
